Year,Province,Species Group,Species,Quantity (kgs),Value (CAD)
2011,Prince Edward Island,Groundfish,Halibut,"33,221","394,250"
2011,Prince Edward Island,Groundfish,Other groundfish,x,x
2011,Prince Edward Island,Groundfish,Pollock,0,0
2011,Prince Edward Island,Groundfish,Redfish spp.,0,0
2011,Prince Edward Island,Groundfish,Skate,0,0
2011,Prince Edward Island,Groundfish,Total groundfish,"136,736","588,807"
2011,Prince Edward Island,Grand total,Grand total,"30,789,365","111,106,328"
2011,Quebec,Shellfish,Clams / quahaug,"1,343,251","1,390,648"
2011,Quebec,Shellfish,"Crab, Other","1,812,552","1,720,498"
2011,Quebec,Shellfish,"Crab, Queen","10,136,626","59,809,424"
2011,Quebec,Shellfish,Lobster,"3,988,501","40,669,291"
2011,Quebec,Shellfish,Other shellfish,"1,421,481","1,660,088"
2011,Quebec,Shellfish,Scallop,"671,622","1,470,344"
2011,Quebec,Shellfish,Sea cucumber,x,x
2011,Quebec,Shellfish,Sea urchin,x,x
2011,Quebec,Shellfish,Shrimp,"20,347,911","29,947,029"
2011,Quebec,Shellfish,Total shellfish,"41,464,610","138,442,513"
2011,Quebec,Pelagics,Alewife,x,x
2011,Quebec,Pelagics,Capelin,x,x
2011,Quebec,Pelagics,Eel,"21,141","172,897"
2011,Quebec,Pelagics,Elvers,0,0
2011,Quebec,Pelagics,Herring,"6,264,873","2,274,962"
2011,Quebec,Pelagics,Mackerel,"1,344,876","1,038,701"
2011,Quebec,Pelagics,Other pelagic/finfish,x,x
2011,Quebec,Pelagics,Salmon,0,0
2011,Quebec,Pelagics,Shark,"1,856","3,667"
2011,Quebec,Pelagics,Silversides,0,0
2011,Quebec,Pelagics,Swordfish,0,0
2011,Quebec,Pelagics,Total pelagics,"8,753,204","3,755,074"
2011,Quebec,Pelagics,Tuna,x,x
2011,Quebec,Other,Marine plants,0,0
2011,Quebec,Other,Miscellaneous,0,0
2011,Quebec,Other,Total other,0,0
2011,Quebec,Groundfish,Cod,"687,156","820,560"
2011,Quebec,Groundfish,Flatfishes,"755,922","1,283,911"
2011,Quebec,Groundfish,Greenland turbot,"2,853,027","6,843,456"
2011,Quebec,Groundfish,Haddock,x,x
2011,Quebec,Groundfish,Hake,"10,623","7,528"
2011,Quebec,Groundfish,Halibut,"451,073","3,415,637"
2011,Quebec,Groundfish,Other groundfish,"27,966","19,174"
2011,Quebec,Groundfish,Pollock,x,x
2011,Quebec,Groundfish,Redfish spp.,x,x
2011,Quebec,Groundfish,Skate,"3,455","1,156"
2011,Quebec,Groundfish,Total groundfish,"5,162,950","12,700,707"
